date,volume,open,close,high,low,symbol
2006-09-26,39644993.0,76.18,77.61,77.78,76.1,AAPL
2006-09-27,28994076.0,77.17,76.41,77.47,75.82,AAPL
2006-09-28,25862827.0,77.02,77.01,77.48,75.95,AAPL
2006-09-29,14497587.0,77.11,76.98,77.52,76.68,AAPL
2006-10-02,25466149.0,75.1,74.86,75.87,74.3,AAPL
2006-10-03,28195275.0,74.45,74.08,74.95,73.19,AAPL
2006-10-04,29977155.0,74.1,75.38,75.462,73.16,AAPL
2006-10-05,24426257.0,74.53,74.83,76.16,74.13,AAPL
2006-10-06,16477598.0,74.42,74.22,75.04,73.81,AAPL
2006-10-09,15654745.0,73.8,74.63,75.08,73.53,AAPL
2006-10-10,18987454.0,74.54,73.81,74.58,73.08,AAPL
2006-10-11,20413829.0,73.42,73.23,73.98,72.6,AAPL
2006-10-12,21179271.0,73.61,75.26,75.39,73.6,AAPL
2006-10-13,24436550.0,75.63,75.02,76.88,74.74,AAPL
2006-10-16,18177534.0,75.19,75.4,75.88,74.789,AAPL
2006-10-17,17181889.0,75.04,74.29,75.27,74.04,AAPL
2006-10-18,40887048.0,74.75,74.53,78.59,73.91,AAPL
2006-10-19,54177768.0,79.26,78.99,79.95,78.16,AAPL
2006-10-20,22847803.0,78.97,79.95,79.99,78.67,AAPL
2006-10-23,29738356.0,79.99,81.46,81.9,79.75,AAPL
2006-10-24,16544233.0,81.21,81.05,81.68,80.2,AAPL
2006-10-25,17333103.0,81.35,81.68,82.0,81.01,AAPL
2006-10-26,15457586.0,81.9,82.19,82.6,81.13,AAPL
2006-10-27,21253640.0,81.75,80.41,82.45,80.01,AAPL
2006-10-30,17855689.0,79.985,80.42,80.9,79.5,AAPL
2006-10-31,17916251.0,81.45,81.08,81.68,80.23,AAPL
2006-11-01,21845588.0,81.1,79.16,81.38,78.36,AAPL
2006-11-02,16627341.0,78.915,78.95,79.32,78.5,AAPL
2006-11-03,15426335.0,79.36,78.29,79.53,77.79,AAPL
2006-11-06,15475782.0,78.95,79.71,80.06,78.43,AAPL
2006-11-07,18788494.0,80.45,80.51,81.0,80.13,AAPL
2006-11-08,24599266.0,80.02,82.45,82.69,79.89,AAPL
2006-11-09,32971332.0,82.9,83.34,84.69,82.12,AAPL
2006-11-10,13367827.0,83.6,83.12,83.6,82.5,AAPL
2006-11-13,16105532.0,83.25,84.35,84.45,82.64,AAPL
2006-11-14,21054939.0,84.8,85.0,85.0,83.9,AAPL
2006-11-15,23522893.0,85.05,84.048,85.9,84.0,AAPL
2006-11-16,24796743.0,84.87,85.61,86.3,84.62,AAPL
2006-11-17,16667310.0,85.145,85.88,85.94,85.0,AAPL
2006-11-20,20394365.0,85.4,86.47,87.0,85.2,AAPL
2006-11-21,22273733.0,87.42,88.6,88.6,87.11,AAPL
2006-11-22,24013531.0,88.99,90.31,90.75,87.85,AAPL
2006-11-24,18538136.0,89.53,91.63,93.08,89.5,AAPL
2006-11-27,38411382.0,92.51,89.54,93.159,89.5,AAPL
2006-11-28,37038540.0,90.36,91.81,91.97,89.91,AAPL
2006-11-29,41351527.0,93.0,91.8,93.15,90.25,AAPL
2006-11-30,31109599.0,92.215,91.66,92.68,91.06,AAPL
2006-12-01,28414061.0,91.8,91.32,92.33,90.1,AAPL
2006-12-04,25367238.0,91.88,91.12,92.05,90.5,AAPL
2006-12-05,23680049.0,91.655,91.27,92.33,90.87,AAPL
2006-12-06,22808274.0,90.65,89.83,91.39,89.67,AAPL
2006-12-07,35906382.0,90.025,87.04,90.5,86.9,AAPL
2006-12-08,28031906.0,87.23,88.26,89.39,87.0,AAPL
2006-12-11,17838086.0,88.9,88.75,89.3,88.05,AAPL
2006-12-12,36964216.0,88.61,86.14,88.84,85.53,AAPL
2006-12-13,30625505.0,87.95,89.05,89.07,87.15,AAPL
2006-12-14,29742897.0,89.05,88.55,90.0,88.26,AAPL
2006-12-15,26436518.0,88.95,87.72,89.22,87.33,AAPL
2006-12-18,25798710.0,87.625,85.47,88.0,84.59,AAPL
2006-12-19,32559883.0,84.73,86.31,86.68,83.62,AAPL
2006-12-20,20303994.0,86.46,84.76,86.67,84.74,AAPL
2006-12-21,32516912.0,84.6956,82.9,85.48,82.2,AAPL
2006-12-22,21921046.0,83.46,82.2,84.0391,81.6,AAPL
2006-12-26,17539728.0,82.15,81.51,82.57,80.89,AAPL
2006-12-27,69298123.0,78.15,81.52,82.0,76.77,AAPL
2006-12-28,40671264.0,80.22,80.87,81.25,79.65,AAPL
2006-12-29,38431949.0,83.95,84.84,85.4,83.36,AAPL
2007-01-03,44480164.0,86.3,83.8,86.58,81.9,AAPL
2007-01-04,30552978.0,84.05,85.66,85.95,83.82,AAPL
2007-01-05,29830644.0,85.77,85.05,86.2,84.4,AAPL
2007-01-08,28479066.0,85.96,85.47,86.53,85.28,AAPL
2007-01-09,119714521.0,86.45,92.57,92.98,85.15,AAPL
2007-01-10,105637198.0,94.75,97.0,97.8,93.45,AAPL
2007-01-11,51504534.0,95.94,95.8,96.78,95.1,AAPL
2007-01-12,46891002.0,94.59,94.62,95.06,93.23,AAPL
2007-01-16,44150959.0,95.68,97.1,97.25,95.45,AAPL
2007-01-17,59721145.0,97.56,94.95,97.6,94.82,AAPL
2007-01-18,84546205.0,92.1,89.07,92.11,89.05,AAPL
2007-01-19,48750753.0,88.62,88.5,89.65,88.12,AAPL
2007-01-22,51928557.0,89.14,86.79,89.16,85.65,AAPL
2007-01-23,43164137.0,85.72,85.7,87.51,85.51,AAPL
2007-01-24,33153929.0,86.68,86.7,87.15,86.08,AAPL
2007-01-25,32376134.0,87.111,86.25,88.5,86.03,AAPL
2007-01-26,35251033.0,87.115,85.38,87.37,84.99,AAPL
2007-01-29,32212402.0,86.3,85.94,86.65,85.53,AAPL
2007-01-30,20670188.0,86.43,85.55,86.49,85.25,AAPL
2007-01-31,30536470.0,84.86,85.73,86.0,84.35,AAPL
2007-02-01,23743829.0,86.22,84.74,86.27,84.74,AAPL
2007-02-02,22190216.0,84.14,84.75,85.25,83.7,AAPL
2007-02-05,20734242.0,84.3,83.94,85.23,83.94,AAPL
2007-02-06,30881225.0,84.45,84.15,84.47,82.86,AAPL
2007-02-07,38179372.0,84.48,86.15,86.38,83.55,AAPL
2007-02-08,24259692.0,85.43,86.18,86.51,85.41,AAPL
2007-02-09,30750743.0,85.88,83.27,86.2,83.21,AAPL
2007-02-12,25873256.0,84.43,84.88,85.18,83.63,AAPL
2007-02-13,21249853.0,85.16,84.63,85.29,84.3,AAPL
2007-02-14,18139679.0,84.63,85.3,85.64,84.57,AAPL
2007-02-15,12992717.0,85.44,85.21,85.62,84.78,AAPL
2007-02-16,14288242.0,85.25,84.83,85.41,84.66,AAPL
2007-02-20,22070251.0,84.65,85.9,86.16,84.16,AAPL
2007-02-21,41283170.0,85.98,89.2,89.49,85.96,AAPL
2007-02-22,29958756.0,90.8,89.51,90.81,88.53,AAPL
2007-02-23,18512199.0,89.16,89.07,90.34,88.85,AAPL
2007-02-26,22036706.0,89.85,88.65,90.0,87.61,AAPL
2007-02-27,40985557.0,86.3,83.93,87.08,83.41,AAPL
2007-02-28,32859517.0,84.55,84.61,85.6,83.0,AAPL
2007-03-01,50561840.0,84.03,87.06,88.31,83.75,AAPL
2007-03-02,30721515.0,86.77,85.41,87.54,85.21,AAPL
2007-03-05,29964077.0,85.89,86.3199,88.65,85.76,AAPL
2007-03-06,25847208.0,87.8,88.19,88.31,87.4,AAPL
2007-03-07,22265971.0,88.05,87.72,88.97,87.45,AAPL
2007-03-08,18263300.0,88.59,88.0,88.72,87.46,AAPL
2007-03-09,16146643.0,88.8,87.97,88.85,87.4,AAPL
2007-03-12,26055579.0,88.0,89.87,89.99,87.99,AAPL
2007-03-13,30924394.0,89.41,88.4,90.6,88.4,AAPL
2007-03-14,28444426.0,88.6,90.0,90.0,87.92,AAPL
2007-03-15,19973507.0,89.96,89.57,90.36,89.31,AAPL
2007-03-16,20420101.0,89.538,89.59,89.99,89.32,AAPL
2007-03-19,25469757.0,90.24,91.13,91.55,89.59,AAPL
2007-03-20,17438064.0,91.33,91.48,91.84,91.06,AAPL
2007-03-21,24551583.0,91.99,93.87,94.0,91.65,AAPL
2007-03-22,20188862.0,93.73,93.96,94.36,93.0,AAPL
2007-03-23,16118497.0,93.35,93.52,94.07,93.3,AAPL
2007-03-26,30904229.0,93.99,95.85,95.9,93.3,AAPL
2007-03-27,33304515.0,95.71,95.46,96.83,95.0,AAPL
2007-03-28,33901198.0,94.88,93.24,95.4,93.15,AAPL
2007-03-29,25928348.0,94.18,93.75,94.19,92.23,AAPL
2007-03-30,21460993.0,94.28,92.91,94.68,92.75,AAPL
2007-04-02,17936060.0,94.18,93.65,94.25,93.02,AAPL
2007-04-03,20867123.0,94.14,94.5,95.23,93.76,AAPL
2007-04-04,17038854.0,94.93,94.27,95.14,94.13,AAPL
2007-04-05,12705136.0,94.12,94.68,94.68,93.52,AAPL
2007-04-09,14742985.0,95.21,93.65,95.3,93.04,AAPL
2007-04-10,12592045.0,93.67,94.25,94.258,93.41,AAPL
2007-04-11,19633372.0,93.9,92.59,93.95,92.33,AAPL
2007-04-12,23707052.0,92.04,92.19,92.31,90.72,AAPL
2007-04-13,25704969.0,90.9,90.24,91.4001,90.0599,AAPL
2007-04-16,21733692.0,90.57,91.43,91.5,90.25,AAPL
2007-04-17,26807279.0,92.0,90.35,92.3,89.7,AAPL
2007-04-18,16585134.0,90.16,90.4,90.85,89.6,AAPL
2007-04-19,15230508.0,90.19,90.27,91.25,89.83,AAPL
2007-04-20,18770432.0,90.889,90.97,91.18,90.55,AAPL
2007-04-23,27902853.0,91.64,93.51,93.8,91.42,AAPL
2007-04-24,37690448.0,93.96,93.24,96.39,91.3,AAPL
2007-04-25,43735779.0,94.23,95.348,95.4,93.8,AAPL
2007-04-26,62106979.0,101.58,98.84,102.5,98.3,AAPL
2007-04-27,24999406.0,98.18,99.92,99.95,97.69,AAPL
2007-04-30,22051686.0,100.09,99.8,101.0,99.67,AAPL
2007-05-01,18996450.0,99.59,99.47,100.35,98.55,AAPL
2007-05-02,18125753.0,99.65,100.39,100.54,99.47,AAPL
2007-05-03,20557706.0,100.73,100.4,101.45,100.01,AAPL
2007-05-04,13653785.0,100.8,100.81,101.6,100.5,AAPL
2007-05-07,30796127.0,101.08,103.92,104.35,101.01,AAPL
2007-05-08,28017175.0,103.47,105.06,105.15,103.42,AAPL
2007-05-09,25662805.0,104.91,106.88,106.96,104.89,AAPL
2007-05-10,42774442.0,106.63,107.34,108.84,105.92,AAPL
2007-05-11,23412254.0,107.74,108.74,109.13,106.78,AAPL
2007-05-14,23297735.0,109.68,109.36,110.0,108.25,AAPL
2007-05-15,34091993.0,109.57,107.52,110.2,106.48,AAPL
2007-05-16,40264555.0,108.53,107.34,108.83,103.42,AAPL
2007-05-17,26358332.0,107.15,109.44,109.87,107.15,AAPL
2007-05-18,22197222.0,110.23,110.02,110.64,109.77,AAPL
2007-05-21,22896170.0,110.31,111.98,112.45,110.05,AAPL
2007-05-22,20457942.0,112.49,113.54,113.75,112.01,AAPL
2007-05-23,32699553.0,114.02,112.89,115.0,112.59,AAPL
2007-05-24,31740524.0,112.81,110.69,114.46,110.37,AAPL
2007-05-25,22607957.0,112.01,113.62,113.78,111.5,AAPL
2007-05-29,23074604.0,114.45,114.35,114.86,112.69,AAPL
2007-05-30,52959277.0,114.3,118.77,118.88,113.53,AAPL
2007-05-31,46456581.0,120.07,121.191,122.17,119.541,AAPL
2007-06-01,31642748.0,121.09,118.4,121.19,118.29,AAPL
2007-06-04,31714050.0,118.66,121.33,121.73,117.9,AAPL
2007-06-05,32919892.0,121.41,122.67,122.69,120.5,AAPL
2007-06-06,39784327.0,122.31,123.64,124.05,121.95,AAPL
2007-06-07,68494424.0,124.99,124.069,127.61,123.19,AAPL
2007-06-08,44441019.0,125.825,124.49,125.83,122.29,AAPL
2007-06-11,67169001.0,125.91,120.19,126.15,119.54,AAPL
2007-06-12,50985107.0,119.35,120.38,121.71,118.31,AAPL
2007-06-13,61527354.0,121.15,117.5,121.19,115.4,AAPL
2007-06-14,34779588.0,117.2,118.75,119.45,116.42,AAPL
2007-06-15,28978628.0,120.62,120.5,120.67,119.86,AAPL
2007-06-18,32567397.0,123.28,125.09,125.18,122.54,AAPL
2007-06-19,33739070.0,124.69,123.66,125.01,122.91,AAPL
2007-06-20,32044185.0,123.87,121.55,124.66,121.5,AAPL
2007-06-21,30985433.0,121.7,123.9,124.29,120.72,AAPL
2007-06-22,22707662.0,123.85,123.0,124.45,122.38,AAPL
2007-06-25,34502566.0,124.19,122.34,125.09,121.06,AAPL
2007-06-26,48030459.0,123.98,119.65,124.0,118.72,AAPL
2007-06-27,34816506.0,120.61,121.89,122.04,119.26,AAPL
2007-06-28,30081076.0,122.36,120.56,122.49,120.0,AAPL
2007-06-29,40636531.0,121.97,122.04,124.0,121.09,AAPL
2007-07-02,35572565.0,121.05,121.26,122.09,119.3,AAPL
2007-07-03,41510351.0,122.0,127.17,127.4,121.5,AAPL
2007-07-05,51894576.0,128.8,132.75,132.97,128.69,AAPL
2007-07-06,31238580.0,133.19,132.3,133.34,130.4,AAPL
2007-07-09,35565002.0,132.38,130.3301,132.9,129.18,AAPL
2007-07-10,44804683.0,128.88,132.35,134.5,128.81,AAPL
2007-07-11,29348624.0,132.07,132.39,133.7,131.31,AAPL
2007-07-12,25154807.0,133.85,134.0699,134.24,132.39,AAPL
2007-07-13,32413435.0,135.03,137.73,137.85,134.52,AAPL
2007-07-16,33389494.0,138.39,138.1,139.98,137.5,AAPL
2007-07-17,25355612.0,138.3,138.9099,139.6,137.5,AAPL
2007-07-18,27049910.0,138.15,138.12,138.44,136.04,AAPL
2007-07-19,26174616.0,140.33,140.0,140.81,139.65,AAPL
2007-07-20,41703121.0,141.65,143.75,144.18,140.0,AAPL
2007-07-23,37007746.0,143.31,143.7,145.22,140.93,AAPL
2007-07-24,64463880.0,138.88,134.8899,141.0,134.15,AAPL
2007-07-25,58253348.0,137.35,137.26,138.36,135.0,AAPL
2007-07-26,78096393.0,145.87,146.0,148.5,142.05,AAPL
2007-07-27,41461716.0,146.19,143.85,148.92,143.78,AAPL
2007-07-30,39589984.0,144.33,141.43,145.45,139.57,AAPL
2007-07-31,63226317.0,142.97,131.76,143.48,131.52,AAPL
2007-08-01,62547467.0,133.64,135.0,135.38,127.77,AAPL
2007-08-02,30489899.0,136.65,136.49,136.96,134.15,AAPL
2007-08-03,24256611.0,135.35,131.8499,135.95,131.5,AAPL
2007-08-06,33068267.0,132.9,135.25,135.27,128.3,AAPL
2007-08-07,33978258.0,134.94,135.0301,137.24,132.63,AAPL
2007-08-08,28883504.0,136.75,134.0,136.86,132.0,AAPL
2007-08-09,40177865.0,131.11,126.39,133.0,125.09,AAPL
2007-08-10,50378307.0,123.0,125.0,127.75,120.3,AAPL
2007-08-13,26932558.0,128.33,127.79,129.35,126.5,AAPL
2007-08-14,26398699.0,128.25,124.03,128.3,123.71,AAPL
2007-08-15,35458951.0,122.74,119.9,124.86,119.65,AAPL
2007-08-16,66665828.0,117.01,117.05,118.5,111.62,AAPL
